code,title,year,genres,rating,cast
tt1390411,In the Heart of the Sea,2015,"Action,Adventure,Biography",6.9,"Chris Hemsworth, Cillian Murphy, Brendan Gleeson, Ben Whishaw, Benjamin Walker"
tt1390535,The Final,2010,"Drama,Horror,Thriller",5.3,"Marc Donato, Jascha Washington, Whitney Hoy, Justin Arnold, Lindsay Seidel"
tt1391034,And Soon the Darkness,2010,"Drama,Horror,Mystery",5.1,"Amber Heard, Odette Annable, Karl Urban, Adriana Barraza, César Vianco"
tt1391137,Why Did I Get Married Too?,2010,"Comedy,Drama,Romance",4.8,"Janet Jackson, Tyler Perry, Jill Scott, Sharon Leal, Malik Yoba"
tt13912632,Sanak,2021,"Action,Thriller",6.6,"Vidyut Jammwal, Neha Dhupia, Kiran Karmarkar, Chandan Roy Sanyal, Chandan Roy"
tt13919802,Anek,2022,"Action,Drama,Sport",6.4,"Ayushmann Khurrana, Ayushmann Khurrana, Andrea Kevichüsa, Manoj Pahwa, Kumud Mishra"
tt1392170,The Hunger Games,2012,"Action,Adventure,Sci-Fi",7.2,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Stanley Tucci, Wes Bentley"
tt1392190,Mad Max: Fury Road,2015,"Action,Adventure,Sci-Fi",8.1,"Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz, Hugh Keays-Byrne"
tt1392197,Marmaduke,2010,"Comedy,Family",4.3,"Owen Wilson, Judy Greer, Lee Pace, Emma Stone, George Lopez"
tt1392214,Prisoners,2013,"Crime,Drama,Mystery",8.2,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Melissa Leo, Maria Bello"
tt13923084,Boy Kills World,2023,"Action,Crime,Thriller",6.4,"Bill Skarsgård, Jessica Rothe, Michelle Dockery, Brett Gelman, Isaiah Mustafa"
tt13923216,Showing Up,2022,"Comedy,Drama",6.3,"Michelle Williams, Hong Chau, André 3000, Todd-o-Phonic Todd, Lauren Lakis"
