code,poster,plot
tt1373156,https://image.tmdb.org/t/p/w500/sJotaiNW28dj439ghTuKxFJijP4.jpg,"A much abused loner achieves success, and even wins the heart of his gorgeous co-worker, after getting early morning mysterious phone calls from someone."
tt1373215,https://image.tmdb.org/t/p/w500/wuokr2itBRbbaLT0bjTykC252KJ.jpg,"When his grandmother takes ill, foolish brute Recep tries to satisfy her wishes by getting a job and attempting to find a suitable wife."
tt1374989,https://image.tmdb.org/t/p/w500/jsJlOhVHiz1xXr36616EI8tJ4b2.jpg,"A zombie outbreak has fallen upon the land in this reimagining of Jane Austen's classic tale of the tangled relationships between lovers from different social classes in 19th century England. Feisty heroine Elizabeth Bennet is a master of martial arts and weaponry and the handsome Mr. Darcy is a fierce zombie killer, yet the epitome of upper class prejudice. As the zombie outbreak intensifies, they must swallow their pride and join forces on the blood-soaked battlefield in order to conquer the undead once and for all."
tt1374992,https://image.tmdb.org/t/p/w500/wImo0dC72HRoI5QO85dGavmxW6q.jpg,"In an alternate universe where twinned worlds have opposite gravities, a young man battles interplanetary prejudice and the laws of physics in his quest to reunite with the long-lost girl of his dreams in this visually stunning romantic adventure that poses the question: what if love was stronger than gravity?"
tt13751694,https://image.tmdb.org/t/p/w500/hr9rjR3J0xBBKmlJ4n3gHId9ccx.jpg,The hardened son of a powerful industrialist returns home after years abroad and vows to take bloody revenge on those threatening his father's life.
tt1375666,https://image.tmdb.org/t/p/w500/ljsZTbVsrQSqZgWeep2B1QiDKuh.jpg,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious."
tt1375670,https://image.tmdb.org/t/p/w500/ys0LscDFAuZxfUcpH5moiPeFfXs.jpg,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend."
tt1375789,https://image.tmdb.org/t/p/w500/FxfkEbgz7jQ8Jo2RViWQRd8sKT.jpg,"Ranveer Singh (Saif Ali Khan) travels to exotic locales and confronts the Turkish mafia on a mission to avenge the death of his lover Sonia in this action-packed sequel. In the process of seeking her killers, Ranveer crosses Armaan Mallick (John Abraham) and Aleena (Deepika Padukone) -- two of the most feared figures in the Turkish underworld. Meanwhile, Ranveer's loyal friend RD (Anil Kapoor) and his new partner Cherry (Amisha Patel) offer a helping hand in a world where love is cheap and trust is a luxury most agents can't afford."
tt1376213,https://image.tmdb.org/t/p/w500/31ykUoOS2RNdARk3B8z3y25gD8b.jpg,"Seventeen-year-old Mariah Mundi's life is turned upside down when his parents vanish and his younger brother is kidnapped. Following a trail of clues to the darkly majestic Prince Regent Hotel, Mariah discovers a hidden realm of child-stealing monsters, deadly secrets and a long-lost artefact that grants limitless wealth—but also devastating supernatural power. With the fate of his world, and his family at stake, Mariah will risk everything to unravel the Curse of the Midas Box."
tt1376717,https://image.tmdb.org/t/p/w500/bJWi0taJmU9WyPdIUVhShxISCFA.jpg,"In central Gothenburg, Sweden, a group of boys, aged 12-14, robbed other children on about 40 occasions between 2006 and 2008. The thieves used an elaborate scheme called the 'little brother number' or 'brother trick', involving advanced role-play and gang rhetoric rather than physical violence."
tt1379177,https://image.tmdb.org/t/p/w500/iJT7eXt09OffD4WBOvV7eGgL3Lt.jpg,A rich man's daughter is held captive in an abandoned apartment by two former convicts who abducted her and hold her ransom in exchange for her father's money.
tt1379182,https://image.tmdb.org/t/p/w500/7nLuUGlH12cegPfR84QX4xIIH9k.jpg,"Three teenagers are confined to an isolated country estate that could very well be on another planet. The trio spend their days listening to endless homemade tapes that teach them a whole new vocabulary. Any word that comes from beyond their family abode is instantly assigned a new meaning. Hence 'the sea' refers to a large armchair and 'zombies' are little yellow flowers. Having invented a brother whom they claim to have ostracized for his disobedience, the uber-controlling parents terrorize their offspring into submission."
tt13793230,https://image.tmdb.org/t/p/w500/wEfhAPR6VNzrt1tkTuzCamRMB3.jpg,A small-time magician with zero interest in football must lead his local team to the finals of a tournament if he wishes to marry the love of his life.
tt13795296,https://image.tmdb.org/t/p/w500/dxKtwP2Q4n3jfqMIqxoShX08UkH.jpg,"An egoistic real estate broker in huge debts, meets with an accident. As he gains consciousness, he realizes that he is in heaven. God appears before him and informs him that he must play a 'Game of Life'. If he manages to win, he will be sent back to earth; if he loses, he will be sent to hell."
tt13801462,https://image.tmdb.org/t/p/w500/7MKuFlrrLJtiV49sxL4P640KP6M.jpg,"The video depicts the war of ideologies between Mahatma Gandhi and Nathuram Godse, increasing the curiosity level amongst the viewers to watch the film."
tt13804084,https://image.tmdb.org/t/p/w500/e4REOC6CZW8J6FslA4nRvdQXFXR.jpg,"When the Flash finds himself dropped into the middle of World War II, he joins forces with Wonder Woman and her top-secret team known as the Justice Society of America."
tt1381404,https://image.tmdb.org/t/p/w500/8GqS8BaVen4eDJFwz2ZwelU5Uyh.jpg,A former Weather Underground activist goes on the run from a journalist who discovers his identity.
tt1381418,https://image.tmdb.org/t/p/w500/hTmZjfNuGUko6N8zTSN1rsVBFsV.jpg,"Bryan, an unassuming pet photographer has action and adventure thrust upon him when he is forced to wed Masha, a Croatian crime lord's daughter, and she is subsequently kidnapped while on their honeymoon in a tropical paradise."
tt1381505,https://image.tmdb.org/t/p/w500/7ZPJQpl6dRgTYQ1krbSBptZQjMI.jpg,"Nearly a decade after a faulty product landed him in prison, an arrogant inventor is determined to restore his reputation and rebuild his fortune. But first, he has to convince his estranged daughter that he's worthy of a second chance."
tt13818368,https://image.tmdb.org/t/p/w500/cQ5u9RcrUEGGlnHvMnHf96rLYgD.jpg,"As India faces a militant attack in Kashmir, the country’s best combat aviators join forces under a reckless yet brilliant squadron leader to form 'Air Dragons', faces mortal dangers and their inner demons."
tt13822738,https://image.tmdb.org/t/p/w500/eGIxXsf3DXYejb0C62bfJVSPSM8.jpg,"Ousmane Diakité and François Monge are two cops with very different styles, backgrounds and careers. The unlikely pair are reunited once again for a new investigation that takes them across France. What seemed to be a simple drug deal turns out to be a much bigger criminal case wrapped in danger and unexpected comedy."
tt13825336,https://image.tmdb.org/t/p/w500/abcG0hQJVwCdloTTTwrY0jfJ1Em.jpg,"In dire need of money, Jerry gets drawn into the dangerous world of drug trafficking. Things go awry when she decides to quit."
tt1382725,https://image.tmdb.org/t/p/w500/9osPoGTddZZfMUzFDs82n57y2wQ.jpg,"A faithful retelling of the 1942 ""Vel' d'Hiv Roundup"" and the events surrounding it."
tt13833688,https://image.tmdb.org/t/p/w500/jQ0gylJMxWSL490sy0RrPj1Lj7e.jpg,A reclusive English teacher suffering from severe obesity attempts to reconnect with his estranged teenage daughter for one last chance at redemption.
tt13834006,https://image.tmdb.org/t/p/w500/bvK9AMUvh0TzjSmWwv74CgBEfg2.jpg,"Seven families live in the Parisian apartment building at 8, Rue de l’Humanite - and they didn’t escape to the countryside at the arrival of the coronavirus. Three months of life under lockdown will reveal the best and worst of these neighbours."
tt13841850,https://image.tmdb.org/t/p/w500/jo1Kv3P3UgDVk7JnUFr2Cl8WWUM.jpg,"In the aftermath of a personal tragedy, Harper retreats alone to the beautiful English countryside, hoping to find a place to heal. But someone — or something — from the surrounding woods appears to be stalking her, and what begins as simmering dread becomes a fully-formed nightmare, inhabited by her darkest memories and fears."
tt13845438,https://image.tmdb.org/t/p/w500/pfiAftin05Rw8XhIdxG9wkAwJIU.jpg,"A father finds out that his teenager daughter is possessed, and the only way he can save her is by doing the ghost's bidding, which will mean an encounter with his long-separated twin - who happens to be a psycho killer."
tt13849558,https://image.tmdb.org/t/p/w500/2JOPMnpaaTBvhy0HCby9uSBkt11.jpg,"In this office satire, Orson, a straight-laced employee, retreats to a blissfully empty corner office to get away from his lackluster colleagues. But why does this seem to upset them so much?"
tt1385824,https://image.tmdb.org/t/p/w500/3rt6upSI2RHV3IAFg1fW4DUNuuk.jpg,"Manohar and his family move into a new apartment on the 13th floor. However, their peace is disturbed by a spirit that uses the television set as a medium to communicate with them."
tt1385826,https://image.tmdb.org/t/p/w500/5ZzeR8iz1nEFLp94OBnbakLZawo.jpg,"A man glimpses the future Fate has planned for him – and chooses to fight for his own destiny. Battling the powerful Adjustment Bureau across, under and through the streets of New York, he risks his destined greatness to be with the only woman he's ever loved."
tt1385867,https://image.tmdb.org/t/p/w500/qA31i7FPVDHezuoevx3497CvZd4.jpg,"Detectives Jimmy and Paul, despite nine years as partners, can still sometimes seem like polar opposites—especially when Paul's unpredictable antics get them suspended without pay. Already strapped for cash and trying to pay for his daughter's wedding, Jimmy decides to sell a rare baseball card that's worth tens of thousands. Unfortunately, when the collector's shop is robbed and the card vanishes with the crook, Paul and Jimmy end up going rogue, tracking down the card and the drug ring behind its theft, all on their own time and without any backup—except for each other."
tt1385912,https://image.tmdb.org/t/p/w500/kl8RNyG7jokw2pTLJNwkPhsBAL9.jpg,"When Madea catches teenage Jennifer and her two younger brothers looting her home, she decides to take matters into her own hands and delivers the young delinquents to the only relative they have: their aunt April. A heavy-drinking nightclub singer who lives off of her married boyfriend, April wants nothing to do with the kids."
tt1386588,https://image.tmdb.org/t/p/w500/wNEHNqo3MgHmj3BUiPSqqq5czcm.jpg,"Unlike their heroic counterparts on the force, desk-bound NYPD detectives Gamble and Hoitz garner no headlines as they work day to day. When a seemingly minor case turns out to be a big deal, the two cops get the opportunity to finally prove to their comrades that they have the right stuff."
tt1386683,https://image.tmdb.org/t/p/w500/l3I58PdeJHTPTzLa1QWtKS97hyW.jpg,"After serving a 12-year sentence for killing the man that slept with his wife, a man ponders whether he should try and reconcile with his family, or take revenge on those who turned him in."
tt1386691,https://image.tmdb.org/t/p/w500/bQHhpTHiys0CZRrdDRKvXBmM5KL.jpg,Shot in reverse day-by-day through a week—a local sheriff embarks on a quest to unlock the mystery of three small-town criminals and a bank heist gone wrong.
tt1386697,https://image.tmdb.org/t/p/w500/sk3FZgh3sRrmr8vyhaitNobMcfh.jpg,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences."
tt1386703,https://image.tmdb.org/t/p/w500/fucmGeZYM4yzqJUnDTc4pKQNCej.jpg,"Factory worker Doug Quaid takes a virtual mind-trip vacation with the Rekall company, opting for implanted memories of being a spy. When the procedure goes wrong, Quaid becomes a wanted man by the police and joins forces with a rebel fighter to stop the evil Chancellor Cohaagen."
tt1386925,https://image.tmdb.org/t/p/w500/1fyV05g2xPmnWO1iSilmqLz4XWq.jpg,"When the last evacuation flight out of war-torn Africa crashes off the coast, American Air Force Engineer Lieutenant Brian Murphy emerges as the sole survivor in a land where the dead are returning to life and attacking the living."
tt1386932,https://image.tmdb.org/t/p/w500/yB5v6wRhIoZxlDvCFFCQhUNezDY.jpg,"Having defeated the best fighters of the Imperial Japanese army in occupied Shanghai, Ip Man and his family settle in post-war Hong Kong. Struggling to make a living, Master Ip opens a kung fu school to bring his celebrated art of Wing Chun to the troubled youth of Hong Kong. His growing reputation soon brings challenges from powerful enemies, including pre-eminent Hung Gar master, Hung Quan."
tt13872248,https://image.tmdb.org/t/p/w500/mi5lh2brPMzuWYddyUKuCtcnjt1.jpg,"A young couple is pushed to the limits of sanity as they attempt to be reunited amid the chaos of a pandemic outbreak. The streets erupt into violence and depravity, as those infected are driven to enact the most cruel and ghastly things imaginable."
tt13873302,https://image.tmdb.org/t/p/w500/6FSGYvPEhIx3ThOikGqHmKxeyNN.jpg,"In 1909, two explorers fight to survive after they're left behind while on a Danish expedition in ice-covered Greenland."
tt13874422,https://image.tmdb.org/t/p/w500/kyv8tPXx3mKchYzVmA3VckKoJDi.jpg,"An artist and her elderly mother confront long-buried secrets when they return to a former family home, now a hotel haunted by its mysterious past."
tt13878694,https://image.tmdb.org/t/p/w500/nF951LtB1YoOm7OoN4ZhhnpUHPj.jpg,"2 brutal murders, 6 suspects and one fearless cop - Rajiv Dixit, a sharp-witted Mumbai police officer , is on a mission to track down the unidentified killer behind these murders."
tt13880104,https://image.tmdb.org/t/p/w500/f2lTAmLYpWpd8JxtJrMXFFGV9gZ.jpg,"France, 1963. Anne is a bright young student with a promising future ahead of her. But when she falls pregnant, she sees the opportunity to finish her studies and escape the constraints of her social background disappearing. With her final exams fast approaching and her belly growing, Anne resolves to act, even if she has to confront shame and pain, even if she must risk prison to do so."
tt1388418,https://image.tmdb.org/t/p/w500/yEK3xnYt7k4oamNOfiB0taWPpuR.jpg,"The movie is the story of a gang of men who decide to participate in Iran-Iraq war, also known as First Gulf War, which lasted from September 1980 to August 1988. the main character, Suzuki, who is there to satisfy his beloved's father that he is worthy of marrying his daughter, goes through some moving experiences in the war and his character changes to a level that he even tries to sacrifice himself to save the others in the war. the Movie ends by his martyrdom."
tt13885320,https://image.tmdb.org/t/p/w500/rR8lTcL81n5oHtxmGHMWxag0XOc.jpg,The Indian government announces a country-wide lockdown for 21 days due to the pandemic. India Lockdown encapsulates the story of four out of lakhs of individuals whose lives came to a standstill.
tt13885428,https://image.tmdb.org/t/p/w500/zjNKLsXCEEZCzT1ZiJScvqVxevA.jpg,A team of four expert policemen go through extreme trials and tribulations to find the killer of a young woman.
tt1389072,https://image.tmdb.org/t/p/w500/5bNzInSSAXfr0MFlHfb4IoQePVx.jpg,A kindly occupational therapist undergoes a new procedure to be shrunken to four inches tall so that he and his wife can help save the planet and afford a nice lifestyle at the same time.
tt1389096,https://image.tmdb.org/t/p/w500/pOXmX1rldFQv3rFkWwe4uqbPWPJ.jpg,"After serving 28 years in prison for accidentally killing the son of a crime boss, newly paroled gangster Val reunites with his former partners in crime, Doc and Hirsch, for a night on the town. As the three men revisit old haunts, reflect on their glory days and try to make up for lost time, one wrestles with a terrible quandary: Doc has orders to kill Val, and time is running out for him to figure out a way out of his dilemma."
tt1389127,https://image.tmdb.org/t/p/w500/oWGCz9txia8hJsQDNe6Lj91qr7K.jpg,"In the Texas bayous, a local homicide detective teams up with a cop from New York City to investigate a series of unsolved murders."
tt1389137,https://image.tmdb.org/t/p/w500/dcOvIqdsojUdAtWt1nPT9xS76Su.jpg,"Benjamin has lost his wife and, in a bid to start his life over, purchases a large house that has a zoo – welcome news for his daughter, but his son is not happy about it. The zoo is in need of renovation and Benjamin sets about the work with the head keeper and the rest of the staff, but, the zoo soon runs into financial trouble."
tt1389139,https://image.tmdb.org/t/p/w500/4QqhN9jZkY33yMvknGI4YpM3TYv.jpg,A surrogate mother harbors a deadly secret desire for a family of her own with the husband who is expecting to raise her child.
tt13899570,https://image.tmdb.org/t/p/w500/zQYsimMQKe8oJXE3JWn5aHB0DHN.jpg,"Story of four women, whose lives are dominated, crafted, and judged by the society. The movie conveys how the lives of four women are affected changed and disturbed by external influences. The struggle of a women in breaking free, from the stereotypes designed by the society and the limitations that are enforced on them through her constant effort to live a happy life, an unjudged life, a simple life is portrayed though four character in the film."
tt1390411,https://image.tmdb.org/t/p/w500/weVvNPfk6FM9vBg3BXtRtNAmiYM.jpg,"In the winter of 1820, the New England whaling ship Essex is assaulted by something no one could believe—a whale of mammoth size and will, and an almost human sense of vengeance."
tt1390535,https://image.tmdb.org/t/p/w500/ff7UI8q51sOArKafaaAOQnnfpne.jpg,A group of high school outcasts get revenge on the students that torment them.
tt1391034,https://image.tmdb.org/t/p/w500/jucoq5jnIwS44ykgLEgCdYD3B0K.jpg,"When two American girls on a bike trip in a remote part of Argentina split up and one of them goes missing, the other must find her before her worst fears are realized."
tt1391137,https://image.tmdb.org/t/p/w500/gbSqG5ur1ipvs6WvGdQvc6Bt2K4.jpg,Four couples reunite for their annual vacation in order to socialize and to spend time analyzing their marriages. Their intimate week in the Bahamas is disrupted by the arrival of an ex-husband determined to win back his recently remarried wife.
