code,title,year,genres,rating,cast,poster,plot
tt9114286,Black Panther: Wakanda Forever,2022,"Action,Adventure,Drama",6.6,"Letitia Wright, Lupita Nyong'o, Danai Gurira, Winston Duke, Angela Bassett",https://image.tmdb.org/t/p/w500/sv1xJUazXeYqALzczSZ3O6nkH75.jpg,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda."
tt9115530,The Eyes of Tammy Faye,2021,"Biography,Drama,Romance",6.6,"Jessica Chastain, Andrew Garfield, Cherry Jones, Vincent D'Onofrio, Mark Wystrach",https://image.tmdb.org/t/p/w500/h09nsvxZH72zx2U8gS8vrg47aRk.jpg,"From the 1960s to the 1980s, evangelist Jim Baker and his ambitious wife, Tammy Faye, rose from humble beginnings to build an empire based on big-time evangelical Christianity--only for the couple to fall from grace because of some all-too-human sins."
tt9116358,Promare,2019,"Action,Adventure,Animation",7.0,"John Eric Bentley, John Eric Bentley, John Eric Bentley, John Eric Bentley, Steve Blum",https://image.tmdb.org/t/p/w500/cCVRivpiVUJ4Wn6gHm8pLXppXla.jpg,"Galo and the Burning Rescue Fire Department face off against BURNISH, a group of mutants who are able to control and wield flames, and the fire disaster they have unleashed on Earth."
tt9124428,Champion,2018,"Biography,Drama,Romance",8.2,"Ekin Koç, Farah Zeynep Abdullah, Fikret Kuskan, Sibel Tasçioglu, Ali Seçkiner Alici",https://image.tmdb.org/t/p/w500/wlbdp77MMh1R0TWRZjsYGQTLIVb.jpg,"The mid 90’s. Turkey’s political instability, inflation and hopelesness on people were increased. In those years when all hope was lost, people deeply bond with Bold Pilot and Halis Karataş who win every race coming from the last place. People see themselves at the point where this horse and jockey are: at the back. This duo make people to believe that everybody can win. The race ends at the finish line and the first to cross this line are Bold Pilot and Halis riding it."
tt9130508,Cherry,2021,"Biography,Crime,Drama",6.6,"Tom Holland, Ciara Bravo, Jack Reynor, Forrest Goodluck, Michael Rispoli",https://image.tmdb.org/t/p/w500/pwDvkDyaHEU9V7cApQhbcSJMG1w.jpg,"Cherry drifts from college dropout to army medic in Iraq - anchored only by his true love, Emily. But after returning from the war with PTSD, his life spirals into drugs and crime as he struggles to find his place in the world."
tt9134216,Playing with Fire,2019,"Comedy,Family",5.2,"John Cena, Keegan-Michael Key, John Leguizamo, Tyler Mane, Brianna Hildebrand",https://image.tmdb.org/t/p/w500/nBLPIpReSatt1zcgVzSVzq5e581.jpg,A crew of rugged firefighters meet their match when attempting to rescue three rambunctious kids.
tt9138170,Limbo,2020,"Comedy,Drama",7.2,"Sidse Babett Knudsen, Kenneth Collard, Amir El-Masry, Vikash Bhai, Ola Orebiyi",https://image.tmdb.org/t/p/w500/1gkXhkAesdep1cC1mSTceccwbOt.jpg,"An offbeat observation of refugees waiting to be granted asylum on a fictional remote Scottish island. It focuses on Omar, a young Syrian musician who is burdened by the weight of his grandfather’s oud, which he has carried all the way from his homeland."
tt9139586,Arkansas,2020,"Action,Crime,Mystery",6.0,"Liam Hemsworth, Jacob Zachar, Chris Mullinax, Clark Duke, John Malkovich",https://image.tmdb.org/t/p/w500/ieNGttYsxunAANK9LRZa4LdkEqi.jpg,"Kyle and Swin live by the orders of an Arkansas-based drug kingpin named Frog, whom they've never met. But when a deal goes horribly wrong, the consequences are deadly."
tt9143112,Falling,2020,Drama,6.5,"Viggo Mortensen, Lance Henriksen, Laura Linney, Terry Chen, Sverrir Gudnason",https://image.tmdb.org/t/p/w500/x1W0y61gDv3gcc0E5NDoM0rclTu.jpg,"John Peterson lives with his partner Eric and their adopted daughter in Southern California. When he is visited by his aging father Willis from Los Angeles who is searching for a place to retire, their two very different worlds collide."
tt9147456,"Endings, Beginnings",2019,Drama,5.6,"Shailene Woodley, Jamie Dornan, Sebastian Stan, Matthew Gray Gubler, Lindsay Sloane",https://image.tmdb.org/t/p/w500/5yfJDjTp6n8QXN0M9aGCYpqahXZ.jpg,"An artist dumps her longtime boyfriend, but her attempt to take a break from dating ends when she quickly finds herself in two passionate romances."
